,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,6.36,3.47,9.16,14.19,12.75,15.71,21.77,19.43,24.45
temperature_random,1.98,-1.42,4.82,11.6,9.72,13.46,22.16,18.84,25.13
temperaturelow_reporting,1.45,-1.08,4.05,9.09,7.71,10.43,16.13,14.01,18.37
temperaturelow_random,-2.12,-5.22,0.45,6.95,5.23,8.62,16.04,13.32,18.68
temperaturehigh_reporting,10.28,7.54,13.22,19.35,17.52,21.03,28.24,25.64,31.56
temperaturehigh_random,5.18,1.71,8.41,16.33,14.06,18.59,28.83,24.84,32.45
humidity_reporting,55.43,48.7,61.88,72.94,69.6,75.82,88.34,84,93
humidity_random,53.91,45.76,61.76,75.01,71.28,78.64,92.58,87.36,97.12
dewpoint_reporting,1.16,-1.91,3.73,8.67,7.29,10.03,15.47,13.83,16.98
dewpoint_random,-2.93,-6.57,0.38,6.4,4.68,8.05,15.13,12.76,17.1
pressure_reporting,1004.71,999.62,1009.94,1016.62,1014.11,1018.86,1027.36,1023.2,1032.38
pressure_random,1004.06,996.67,1010.31,1017.89,1015.39,1020.45,1030.13,1025.31,1034.95
windspeed_reporting,1.22,0.88,1.59,3,2.6,3.47,5.72,4.39,7.61
windspeed_random,1.08,0.68,1.46,3.13,2.62,3.66,6.39,4.9,8.37
visibility_reporting,8.14,6.33,9.49,12.24,11.33,13.14,16.09,16.09,16.09
visibility_random,7.84,5.45,9.44,12.43,11.34,13.39,16.09,16.09,16.09
cloudcover_reporting,11.3,1.04,29,62.67,54.57,71.23,95.81,91.24,99.18
cloudcover_random,10.9,0.58,32.08,65.72,55.98,74.24,97.64,93.36,100
windgust_reporting,3.1,2.3,4.19,8.04,6.72,9.54,15.07,12.04,19.24
windgust_random,2.89,2.04,3.88,8.57,7.11,10.05,16.43,13.22,19.72
uvindex_reporting,1.17,0,2,4.4,3.81,5,7.56,6.24,8.18
uvindex_random,0.38,0,1,3.12,2.47,3.74,6.96,5.12,8.24
