,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,7.68,5.12,9.78,14.2,12.71,15.65,20.66,18.36,22.74
temperature_random,3.34,0.61,5.95,11.64,9.67,13.43,20.68,17.71,23.68
temperaturelow_reporting,2.66,-0.17,5.09,9.1,7.76,10.47,15.09,13.06,17.06
temperaturelow_random,-0.8,-3.48,1.87,6.98,5.29,8.72,14.89,12.34,17.18
temperaturehigh_reporting,11.74,9.02,14.32,19.3,17.49,20.94,26.86,24.31,29.38
temperaturehigh_random,6.79,3.75,9.59,16.35,14.11,18.51,26.97,23.34,30.47
humidity_reporting,58.5,52,64,73.02,69.98,76.08,86.24,82.2,90.1
humidity_random,57.89,50.9,64.8,74.89,71.28,78.31,90.24,86.1,95
dewpoint_reporting,2.48,0.03,4.71,8.69,7.34,10.03,14.61,12.74,16.06
dewpoint_random,-1.3,-4.87,1.89,6.46,4.78,8.14,14.1,11.83,16.1
pressure_reporting,1007.17,1002.15,1012,1016.59,1014.1,1018.91,1025.35,1022.1,1029.65
pressure_random,1007.1,1000.75,1012.34,1017.81,1015.14,1020.27,1027.87,1023.76,1032.78
windspeed_reporting,1.4,1.06,1.76,3,2.58,3.49,5.06,3.98,6.5
windspeed_random,1.28,0.9,1.66,3.14,2.63,3.71,5.57,4.37,7.19
visibility_reporting,8.87,7.44,9.75,12.26,11.31,13.15,16.09,16.09,16.09
visibility_random,8.64,6.98,9.75,12.43,11.39,13.4,16.09,16.09,16.09
cloudcover_reporting,18.62,4,38.4,62.84,54.26,71.03,93.55,87.4,98
cloudcover_random,19.81,2.7,43,65.65,56.69,74.22,95.86,90.4,99
windgust_reporting,3.49,2.58,4.64,8.04,6.83,9.48,13.7,10.99,16.64
windgust_random,3.31,2.33,4.53,8.57,6.98,10.19,15.08,12.36,18.33
uvindex_reporting,1.69,1,3,4.39,3.76,4.94,7.1,6,8
uvindex_random,0.74,0,1,3.15,2.52,3.85,6.23,5,8
