,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,10.64,8.74,12.57,14.35,12.39,16.17,17.76,15.87,19.83
temperature_random,6.86,4.55,9.31,11.22,8.8,14.12,16.49,13.4,19.31
temperaturelow_reporting,5.93,3.72,7.98,9.28,7.59,10.86,12.48,10.49,14.3
temperaturelow_random,2.63,0.35,5.14,7.01,4.8,9.35,11.38,8.92,13.72
temperaturehigh_reporting,15.15,12.65,17.67,19.43,16.96,21.57,23.56,21.2,25.98
temperaturehigh_random,10.52,8.02,13.25,15.68,12.57,18.89,22.11,18.62,25.68
humidity_reporting,66,61.25,70.25,73.87,70,77.5,80.92,77,84.75
humidity_random,66.62,61,72,76.63,72,81,84.41,80,88.5
dewpoint_reporting,5.42,3.5,7.27,8.96,7.17,10.65,12.21,10.29,13.99
dewpoint_random,2.49,-0.06,4.7,6.56,4.41,8.92,10.89,8.5,13.16
pressure_reporting,1012.38,1008.77,1015.1,1016.98,1014.45,1019.4,1021.22,1018.6,1024
pressure_random,1013.24,1009.17,1016.23,1018.14,1015.6,1020.8,1022.94,1020.05,1026.38
windspeed_reporting,1.87,1.52,2.28,2.64,2.21,3.13,3.73,3.06,4.52
windspeed_random,1.81,1.42,2.22,2.69,2.17,3.25,3.99,3.2,4.98
visibility_reporting,9.87,9.42,10,11.25,10,15.04,15.92,14.77,16.09
visibility_random,9.85,9.33,10,12.19,10,15.85,16.02,15.43,16.09
cloudcover_reporting,43.67,24.25,63,70.05,56,81,85.74,78,92
cloudcover_random,46.32,25,66,74.75,62,84,89.12,81.25,94.75
windgust_reporting,4.86,3.7,6.19,7.14,5.6,8.97,10.55,8.32,13.01
windgust_random,4.81,3.59,6.3,7.63,5.61,9.97,11.7,9.1,14.4
uvindex_reporting,3.06,2,4,4.38,4,5,5.79,5,7
uvindex_random,1.15,1,2,2.78,2,4,4.68,4,6
