,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,6.13,3.49,8.78,13.92,12.48,15.33,21.52,19,24.47
temperature_random,1.91,-1.37,4.73,11.71,9.78,13.78,22.17,19.2,25.29
temperaturelow_reporting,1.45,-1.01,4.2,8.88,7.48,10.17,15.95,13.83,18.23
temperaturelow_random,-2.18,-5.26,0.53,6.93,5.19,8.59,16.16,13.56,18.55
temperaturehigh_reporting,10.15,7.51,12.95,19,17.38,20.74,27.89,25.16,31.09
temperaturehigh_random,5.32,1.63,8.43,16.28,13.83,18.46,28.83,24.95,32.31
humidity_reporting,55.58,47.94,61.94,73.54,70.36,76.6,88.96,84.18,93.06
humidity_random,54.04,45.94,61.82,75.02,71.16,78.5,92.54,88.06,97.12
dewpoint_reporting,1.24,-1.99,3.88,8.59,7.23,9.93,15.34,13.59,16.99
dewpoint_random,-3.05,-7.06,0.45,6.36,4.6,8.05,15.18,12.75,17.11
pressure_reporting,1003.8,998.9,1009,1016.03,1013.84,1018.4,1027.05,1022.9,1031.6
pressure_random,1004.07,996.93,1010.46,1017.82,1015.11,1020.44,1030.24,1025.56,1034.95
windspeed_reporting,1.26,0.88,1.6,3.07,2.63,3.56,5.77,4.49,7.54
windspeed_random,1.08,0.6,1.48,3.12,2.61,3.69,6.39,4.92,8.33
visibility_reporting,7.92,5.72,9.46,12.21,11.31,13.17,16.09,16.09,16.09
visibility_random,7.76,5.35,9.44,12.41,11.43,13.44,16.09,16.09,16.09
cloudcover_reporting,11.67,1.64,31.9,63.78,55.39,71.57,96.61,92.2,99.36
cloudcover_random,11.71,0.52,32.92,65.54,56.42,73.81,97.5,93,100
windgust_reporting,3.13,2.28,4.24,8.22,6.9,9.75,15.3,12.34,19.18
windgust_random,2.87,2.05,3.93,8.54,7.07,10.11,16.46,13.3,20.56
uvindex_reporting,1.35,0,2.82,4.37,3.85,4.91,7.4,6.06,8.24
uvindex_random,0.39,0,1,3.12,2.48,3.76,6.98,5.24,8.18
