,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,7.4,4.87,9.62,13.99,12.56,15.53,20.37,18.09,22.77
temperature_random,3.32,0.72,6.03,11.64,9.69,13.61,20.72,17.59,23.41
temperaturelow_reporting,2.68,0.27,4.97,8.87,7.44,10.34,14.94,12.85,16.69
temperaturelow_random,-0.8,-3.29,1.73,7,5.29,8.62,14.82,12.06,17.19
temperaturehigh_reporting,11.3,9.04,13.75,19.03,17.26,20.65,26.55,24.02,29.24
temperaturehigh_random,6.7,3.87,9.47,16.35,14.26,18.62,27.02,23.35,30.55
humidity_reporting,58.88,52.9,64.9,73.51,70.52,76.48,86.94,83,91.1
humidity_random,57.74,50.9,64.8,75.05,71.46,78.3,90.28,86,95
dewpoint_reporting,2.61,-0.18,4.74,8.59,7.28,9.83,14.47,12.71,16.02
dewpoint_random,-1.35,-4.55,1.7,6.44,4.68,8.12,14.08,11.78,16.1
pressure_reporting,1006.14,1001.08,1010.94,1016.08,1013.68,1018.34,1025.09,1021.8,1029.4
pressure_random,1007.18,1001.06,1012.08,1017.78,1015.36,1020.4,1027.91,1023.8,1032.46
windspeed_reporting,1.4,1.12,1.75,3.06,2.62,3.53,5.1,4.02,6.46
windspeed_random,1.26,0.89,1.63,3.14,2.65,3.72,5.64,4.32,7.17
visibility_reporting,8.74,7.27,9.74,12.2,11.25,13.14,16.09,16.09,16.09
visibility_random,8.71,6.99,9.79,12.41,11.35,13.41,16.09,16.09,16.09
cloudcover_reporting,19.85,4.4,42,64.04,55.07,72.09,94.58,87.9,98.8
cloudcover_random,19.08,2.6,40.8,65.47,56.74,73.98,95.93,91,99
windgust_reporting,3.6,2.55,4.82,8.23,6.79,9.66,13.78,11.08,16.9
windgust_random,3.33,2.36,4.55,8.57,7.06,10.17,14.88,12.26,17.71
uvindex_reporting,1.83,1,3,4.38,3.8,4.92,6.94,6,8
uvindex_random,0.73,0,1,3.15,2.52,3.79,6.23,5,8
