,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,10.42,8.59,12.41,13.98,11.99,15.95,17.54,15.67,19.46
temperature_random,6.84,4.43,9.13,11.2,8.79,13.92,16.45,13.32,19.41
temperaturelow_reporting,5.74,3.75,7.55,8.98,7.21,10.57,12.21,10.44,14.29
temperaturelow_random,2.62,0.29,4.97,7.03,4.68,9.27,11.36,8.93,13.73
temperaturehigh_reporting,14.79,12.23,17.11,19.01,16.63,21.3,23.19,20.93,25.39
temperaturehigh_random,10.51,7.87,13.19,15.68,12.74,19.15,22.13,18.5,25.54
humidity_reporting,66.39,62,71,74.58,70,78,81.41,77.75,85
humidity_random,66.68,61,72.25,76.59,71.5,81,84.46,80,88
dewpoint_reporting,5.44,3.64,7.26,8.75,7.04,10.47,12.05,10.15,13.72
dewpoint_random,2.41,0.08,4.64,6.65,4.36,9.09,10.95,8.64,13.3
pressure_reporting,1011.58,1007.87,1014.4,1016.62,1013.9,1019.45,1021.13,1018.33,1023.7
pressure_random,1013.23,1009.4,1016.3,1018.14,1015.7,1020.75,1023,1020.3,1026.02
windspeed_reporting,1.92,1.57,2.31,2.71,2.24,3.17,3.83,3.11,4.62
windspeed_random,1.81,1.42,2.23,2.69,2.14,3.29,3.96,3.15,4.94
visibility_reporting,9.85,9.39,10,11.34,10,15.16,15.88,14.65,16.09
visibility_random,9.83,9.21,10,12.14,10,15.77,16.04,15.6,16.09
cloudcover_reporting,46.92,25.25,63.75,71.87,60,81.5,86.54,79.5,93.25
cloudcover_random,46.16,24,64.5,74.66,61,84,88.91,81.5,94.25
windgust_reporting,4.93,3.79,6.26,7.32,5.69,9.16,10.68,8.53,13.04
windgust_random,4.81,3.51,6.39,7.62,5.79,9.98,11.63,9.06,14.1
uvindex_reporting,3.12,2,4,4.31,4,5,5.63,5,6.5
uvindex_random,1.16,1,2,2.77,2,4,4.7,4,6
