,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,6.85,3.42,8.87,13.65,12.33,15,21.23,18.99,23.23
temperature_random,1.93,-1.06,4.69,11.63,9.7,13.46,22.12,19.07,25.26
temperaturelow_reporting,1.47,-1.71,4.03,8.53,7.21,9.77,15.47,13.53,17.47
temperaturelow_random,-2.2,-5.56,0.42,6.95,5.18,8.69,16.2,13.58,18.7
temperaturehigh_reporting,10.77,6.76,12.69,18.71,17.09,20.41,27.66,24.59,30.07
temperaturehigh_random,5.26,1.76,8.4,16.36,14.1,18.53,28.82,24.95,32.43
humidity_reporting,57.35,51,63.82,73.92,71.06,76.57,88,84,91.54
humidity_random,54.13,45.94,61.88,75.04,71.46,78.63,92.52,88,97.06
dewpoint_reporting,1.95,-0.43,3.39,8.14,6.81,9.38,15.28,13.43,17.08
dewpoint_random,-3.06,-6.9,0.36,6.44,4.72,8.12,15.15,12.88,17.21
pressure_reporting,1006.07,1002.11,1011.5,1017.94,1015.45,1020.31,1029.2,1024.8,1034.3
pressure_random,1004.26,996.88,1010.43,1017.82,1015.04,1020.24,1030.1,1025.21,1035.22
windspeed_reporting,1.22,0.92,1.63,2.91,2.51,3.34,5.34,4.16,6.75
windspeed_random,1.07,0.63,1.45,3.14,2.63,3.69,6.37,4.81,8.15
visibility_reporting,8.13,5.69,9.47,12.31,11.33,13.28,16.09,16.09,16.09
visibility_random,7.85,5.61,9.51,12.43,11.41,13.45,16.09,16.09,16.09
cloudcover_reporting,6.7,1,23.74,59.16,50.23,67.02,92.42,87,96.92
cloudcover_random,11.41,0.58,32.68,65.59,56.33,74.13,97.6,93.36,100
windgust_reporting,2.78,2.24,3.67,7.2,6.1,8.46,13.22,10.55,15.41
windgust_random,2.86,2.01,3.9,8.56,7.16,10.19,16.43,13.19,20.02
uvindex_reporting,0.95,0,2,4.1,3.55,4.63,6.9,6,8
uvindex_random,0.38,0,1,3.17,2.52,3.85,6.94,5.24,8.24
