,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,7.85,5.83,9.72,13.69,12.4,15.14,20.03,17.85,21.99
temperature_random,3.34,0.58,5.96,11.62,9.62,13.54,20.62,17.62,23.57
temperaturelow_reporting,2.76,0.12,4.86,8.56,7.19,9.81,14.55,12.66,15.98
temperaturelow_random,-0.8,-3.4,1.7,6.98,5.25,8.69,14.81,12.34,17.01
temperaturehigh_reporting,11.98,9.66,13.64,18.75,17.15,20.26,26.27,23.6,28.67
temperaturehigh_random,6.82,3.88,9.45,16.38,14.11,18.67,26.97,23.33,30.39
humidity_reporting,60.25,54.8,66.8,74,71.09,76.91,86.13,82,90.1
humidity_random,57.62,50.8,64.8,75.02,71.52,78.58,90.32,86.1,95
dewpoint_reporting,2.69,1.2,3.82,8.14,6.87,9.37,14.36,12.5,16.05
dewpoint_random,-1.33,-4.74,1.58,6.42,4.57,8.25,14.07,11.81,15.94
pressure_reporting,1008.23,1003.6,1012.3,1017.97,1015.71,1020.26,1026.93,1023.8,1032.06
pressure_random,1007.19,1000.79,1012.13,1017.85,1015.41,1020.32,1027.97,1023.83,1032.8
windspeed_reporting,1.4,1.03,1.74,2.91,2.49,3.35,4.71,3.95,5.9
windspeed_random,1.28,0.91,1.66,3.13,2.61,3.64,5.55,4.26,7.11
visibility_reporting,8.98,7.27,9.79,12.28,11.23,13.18,16.09,16.09,16.09
visibility_random,8.67,6.79,9.76,12.43,11.45,13.41,16.09,16.09,16.09
cloudcover_reporting,11.83,2.4,31.2,58.93,50.27,68.11,90.06,85.8,95
cloudcover_random,19.59,2.9,41,65.51,56.18,74.44,96.01,91,99
windgust_reporting,3.12,2.38,4.42,7.26,6.21,8.4,12.09,9.76,14.55
windgust_random,3.33,2.41,4.51,8.58,7.16,10.04,14.88,11.93,18.31
uvindex_reporting,1.42,0.7,2.8,4.09,3.53,4.65,6.51,6,7
uvindex_random,0.73,0,1,3.14,2.5,3.78,6.24,5,8
