,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,10.11,8.6,11.62,13.4,11.47,15.36,17.07,14.99,19.22
temperature_random,6.81,4.53,9.32,11.2,8.73,13.77,16.52,13.43,19.24
temperaturelow_reporting,5.57,3.95,7.17,8.5,6.99,10.2,11.73,9.68,14.09
temperaturelow_random,2.6,0.34,5,7.03,4.69,9.19,11.4,8.85,13.86
temperaturehigh_reporting,14.42,12.62,16.66,18.49,16.27,20.93,22.8,20.82,25.01
temperaturehigh_random,10.49,7.96,13.01,15.61,12.5,18.95,22.07,18.39,25.46
humidity_reporting,68.21,63,72,74.52,72,78,81.24,77,85
humidity_random,66.67,61,72.25,76.51,71,81,84.48,80,88
dewpoint_reporting,4.57,3.33,6.87,7.9,5.84,9.33,11.48,9.14,13.56
dewpoint_random,2.49,0.06,4.95,6.65,4.37,9.01,10.84,8.42,13.16
pressure_reporting,1013.24,1009.7,1016.4,1018.2,1015.5,1020.9,1023,1020.45,1025.7
pressure_random,1013.36,1009.45,1016.35,1018.17,1015.5,1020.8,1022.99,1019.9,1026.15
windspeed_reporting,1.89,1.57,2.31,2.61,2.18,2.96,3.59,2.9,4.32
windspeed_random,1.81,1.41,2.26,2.71,2.2,3.35,4.01,3.19,4.92
visibility_reporting,9.85,9.41,10,11.38,10,15.67,16.01,15.25,16.09
visibility_random,9.84,9.29,10,12.24,10,15.85,16.02,15.4,16.09
cloudcover_reporting,37.44,17,58.25,68.49,56,78,83.27,76,88
cloudcover_random,47.07,24,66.5,74.76,61,84,89.05,82,94.5
windgust_reporting,4.71,3.3,5.92,6.49,5.58,7.91,9.29,7.21,11.17
windgust_random,4.79,3.58,6.28,7.65,5.65,10,11.62,8.97,13.97
uvindex_reporting,2.86,2,4,4.16,3.5,5,5.52,5,6
uvindex_random,1.16,1,2,2.76,2,4,4.7,4,6
