,shapiro_test,p.value
temperature,0.976959139611943,7.64888909420053e-13
temperaturelow,0.979032040611419,4.05326253915488e-12
temperature_nocturne,0.978575299296245,2.78191373236774e-12
temperaturehigh,0.975537686488239,2.57919577733571e-13
temperature_diurne,0.976099043262831,3.94182297818153e-13
humidity,0.97679231980558,6.71752482875965e-13
humidite_floor,0.978486237598453,2.58663317921045e-12
dewpoint,0.978121496562952,1.92383959432113e-12
point_rose,0.978126971607023,1.93236131673567e-12
pressure,0.980459757401919,6.90813815507931e-11
press_mer,0.978401670427801,2.4143492549042e-12
windspeed,0.932076380189147,7.72565506004155e-23
vvent,0.932440068133762,8.81616350036217e-23
visibility,0.932305206495821,8.39437679765489e-23
visibilite,0.974016204129084,8.43332173261645e-14
cloudcover,0.904721945997727,1.31105089394758e-26
nebulosite_floor,0.824958821071795,3.71620240854807e-34
windgust,0.924657954606506,5.62851733719996e-23
rafale_10min,0.922018636015665,2.43515100812745e-24
precipintensity,0.410014283771014,2.02346617349212e-50
precip_24h,0.807743976196898,2.07835637980638e-35
