,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,7.86,4.88,10.36,14.52,13.02,16.01,21.09,18.98,23.45
temperature_random,3.33,0.46,6.2,11.62,9.69,13.7,20.68,17.58,23.8
temperaturelow_reporting,2.91,0.03,5.6,9.35,7.95,10.75,15.33,13.31,17.5
temperaturelow_random,-0.84,-3.24,1.61,6.95,5.15,8.66,14.88,12.29,17.26
temperaturehigh_reporting,12.15,8.89,14.86,19.7,18.04,21.39,27.27,25.03,30.03
temperaturehigh_random,6.7,3.82,9.39,16.33,14.07,18.49,27.02,23.39,30.42
humidity_reporting,58.19,52.8,63.8,72.36,69.28,75.14,85.45,82,89.2
humidity_random,57.68,50,64.7,75.13,71.32,78.8,90.19,86,94.1
dewpoint_reporting,2.28,-0.21,4.68,8.82,7.45,10.17,14.83,13.1,16.26
dewpoint_random,-1.33,-4.46,1.44,6.5,4.79,8.19,14.02,11.7,16.12
pressure_reporting,1007.71,1002.56,1012.1,1016.9,1014.56,1019.04,1025.43,1021.91,1029.74
pressure_random,1007.12,1000.98,1012.4,1017.77,1015.11,1020.3,1027.86,1024.15,1032.44
windspeed_reporting,1.38,0.99,1.75,2.98,2.55,3.44,5.02,3.97,6.52
windspeed_random,1.27,0.92,1.64,3.13,2.66,3.68,5.53,4.26,7.05
visibility_reporting,8.97,7.61,9.83,12.24,11.35,13.1,16.09,16.09,16.09
visibility_random,8.73,7.03,9.8,12.43,11.43,13.42,16.09,16.09,16.09
cloudcover_reporting,18.65,4.1,37.5,61.97,53.56,69.74,92.98,87,97.5
cloudcover_random,19.49,3,41,65.46,56.09,73.9,95.83,90.6,99
windgust_reporting,3.48,2.62,4.51,8.02,6.72,9.49,13.73,10.83,16.96
windgust_random,3.32,2.44,4.44,8.57,7.07,10.17,15.05,12.16,18.25
uvindex_reporting,1.49,0.8,2.7,4.44,3.8,5.08,7.29,6,8
uvindex_random,0.73,0,1,3.14,2.5,3.8,6.21,5,8
