,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,11.07,9.15,13.27,14.7,12.8,16.57,18.18,16.38,20.2
temperature_random,6.85,4.58,9.11,11.2,8.9,14.01,16.54,13.43,19.5
temperaturelow_reporting,6.25,3.98,8.3,9.63,8.02,11.24,12.79,11,14.43
temperaturelow_random,2.57,0.14,5.09,7,4.69,9.28,11.33,8.89,13.74
temperaturehigh_reporting,15.6,13.48,17.86,19.84,17.41,21.88,23.94,21.67,26.34
temperaturehigh_random,10.53,8.01,13.09,15.65,12.64,18.98,22,18.53,25.47
humidity_reporting,65.42,60.75,70,73.11,69,77,80.33,76,83.75
humidity_random,66.73,60.25,72.5,76.58,71.5,81,84.54,80,88.5
dewpoint_reporting,5.56,3.16,7.86,9.33,7.53,11.02,12.5,10.84,14.18
dewpoint_random,2.49,-0.09,4.84,6.7,4.5,9.04,10.97,8.73,13.25
pressure_reporting,1012.92,1009.35,1015.53,1017.18,1014.9,1019.35,1021.25,1018.62,1024.1
pressure_random,1013.22,1009.7,1016.23,1018.16,1015.65,1020.6,1023.05,1019.98,1026.2
windspeed_reporting,1.85,1.53,2.21,2.61,2.17,3.12,3.66,2.97,4.4
windspeed_random,1.81,1.43,2.21,2.7,2.13,3.29,3.99,3.23,4.91
visibility_reporting,9.87,9.44,10,11.1,10,15.22,15.97,14.98,16.09
visibility_random,9.85,9.31,10,12.11,10,15.81,16.03,15.34,16.09
cloudcover_reporting,42.02,24.5,59.75,68.95,55,80,85.35,76.5,91.25
cloudcover_random,46.59,26,65.5,74.62,62,84.5,89.02,81.5,95
windgust_reporting,4.74,3.71,6.19,7.13,5.62,8.93,10.44,8.2,12.87
windgust_random,4.82,3.6,6.27,7.7,5.81,9.91,11.66,9.02,14.16
uvindex_reporting,2.95,2,4,4.44,4,5,5.94,5,7
uvindex_random,1.14,1,2,2.77,2,4,4.72,4,6
